porosity,k_i,k_j,k_k,X,Y,Z
2.49E-05,1.12E-15,1.43E-15,1.26E-15,5,265,5
2.30E-05,7.30E-16,8.00E-16,9.40E-16,15,265,5
2.30E-05,7.30E-16,8.00E-16,9.40E-16,25,265,5
2.37E-05,8.66E-16,1.02E-15,1.05E-15,35,265,5
2.40E-05,9.39E-16,1.14E-15,1.11E-15,45,265,5
2.46E-05,9.03E-16,1.22E-15,1.44E-15,55,265,5
3.02E-05,2.72E-15,1.92E-15,2.90E-15,65,265,5
3.65E-05,5.00E-15,1.60E-15,5.39E-15,75,265,5
3.22E-05,3.48E-15,1.72E-15,3.75E-15,85,265,5
2.84E-05,2.47E-15,1.09E-15,2.75E-15,95,265,5
2.31E-05,7.73E-16,8.07E-16,9.85E-16,105,265,5
2.30E-05,7.31E-16,8.01E-16,9.41E-16,115,265,5
3.74E-05,2.58E-15,5.38E-15,4.64E-15,125,265,5
2.74E-05,1.62E-15,2.23E-15,1.68E-15,135,265,5
2.33E-05,7.94E-16,9.03E-16,9.93E-16,145,265,5
2.30E-05,7.30E-16,8.00E-16,9.40E-16,155,265,5
2.30E-05,7.30E-16,8.00E-16,9.40E-16,165,265,5
2.30E-05,7.30E-16,8.00E-16,9.40E-16,175,265,5
2.38E-05,7.67E-16,1.04E-15,1.21E-15,185,265,5
2.30E-05,7.30E-16,8.00E-16,9.40E-16,195,265,5
2.93E-05,1.03E-15,2.72E-15,3.13E-15,205,265,5
2.36E-05,9.10E-16,8.40E-16,1.13E-15,215,265,5
3.00E-05,1.92E-15,2.24E-15,3.20E-15,225,265,5
3.06E-05,1.69E-15,2.76E-15,3.34E-15,235,265,5
2.58E-05,1.04E-15,1.57E-15,1.84E-15,245,265,5
2.42E-05,1.13E-15,8.66E-16,1.35E-15,255,265,5
2.99E-05,2.83E-15,1.43E-15,3.09E-15,265,265,5
2.53E-05,1.46E-15,9.21E-16,1.70E-15,275,265,5
2.30E-05,7.30E-16,8.00E-16,9.40E-16,285,265,5
2.30E-05,7.30E-16,8.00E-16,9.40E-16,295,265,5
2.30E-05,7.30E-16,8.00E-16,9.40E-16,305,265,5
2.30E-05,7.30E-16,8.00E-16,9.40E-16,315,265,5
2.39E-05,9.06E-16,1.08E-15,1.09E-15,325,265,5
2.30E-05,7.30E-16,8.00E-16,9.40E-16,335,265,5
2.70E-05,2.02E-15,1.01E-15,2.28E-15,345,265,5
3.00E-05,2.98E-15,1.17E-15,3.29E-15,355,265,5
2.90E-05,1.76E-15,2.04E-15,2.89E-15,365,265,5
2.37E-05,8.06E-16,9.87E-16,1.16E-15,375,265,5
2.91E-05,2.24E-15,2.19E-15,2.35E-15,385,265,5
2.99E-05,2.15E-15,2.94E-15,2.23E-15,395,265,5
3.75E-05,1.89E-15,4.98E-15,5.79E-15,405,265,5
2.30E-05,7.32E-16,8.05E-16,9.46E-16,415,265,5
2.77E-05,1.60E-15,1.70E-15,2.46E-15,425,265,5
2.99E-05,2.94E-15,1.17E-15,3.25E-15,435,265,5
3.07E-05,3.04E-15,1.36E-15,3.49E-15,445,265,5
2.37E-05,9.59E-16,8.38E-16,1.18E-15,455,265,5
2.30E-05,7.30E-16,8.00E-16,9.40E-16,465,265,5
2.30E-05,7.30E-16,8.00E-16,9.40E-16,475,265,5
