Time,psi,,,,,,,,,,,,,,,,,
0.00,2163.00,,,,,,,,,,,,,,,,,
0.50,2347.00,,,,,,,,,,,,,,,,,
1.02,2459.00,,,,,,,,,,,,,,,,,
1.52,2696.00,,,,,,,,,,,,,,,,,
2.03,2691.00,,,,,,,,,,,,,,,,,
2.53,2820.00,,,,,,,,,,,,,,,,,
3.05,2894.00,,,,,,,,,,,,,,,,,
3.55,2872.00,,,,,,,,,,,,,,,,,
4.07,3003.00,,,,,,,,,,,,,,,,,
4.57,2984.00,,,,,,,,,,,,,,,,,
5.08,3007.00,,,,,,,,,,,,,,,,,
5.58,3086.00,,,,,,,,,,,,,,,,,
6.10,3036.00,,,,,,,,,,,,,,,,,
6.60,3115.00,,,,,,,,,,,,,,,,,
7.10,3125.00,,,,,,,,,,,,,,,,,
7.62,3097.00,,,,,,,,,,,,,,,,,
8.12,3181.00,,,,,,,,,,,,,,,,,
8.63,3145.00,,,,,,,,,,,,,,,,,
9.13,3159.00,,,,,,,,,,,,,,,,,
9.65,3211.00,,,,,,,,,,,,,,,,,
10.15,3171.00,,,,,,,,,,,,,,,,,
10.67,3222.00,,,,,,,,,,,,,,,,,
11.17,3222.00,,,,,,,,,,,,,,,,,
11.68,3206.00,,,,,,,,,,,,,,,,,
12.18,3263.00,,,,,,,,,,,,,,,,,
12.70,3237.00,,,,,,,,,,,,,,,,,
13.20,3252.00,,,,,,,,,,,,,,,,,
13.72,3279.00,,,,,,,,,,,,,,,,,
14.22,3259.00,,,,,,,,,,,,,,,,,
14.72,3313.00,,,,,,,,,,,,,,,,,
15.23,3291.00,,,,,,,,,,,,,,,,,
15.73,3354.00,,,,,,,,,,,,,,,,,
16.25,3349.00,,,,,,,,,,,,,,,,,
16.75,3345.00,,,,,,,,,,,,,,,,,
17.27,3341.00,,,,,,,,,,,,,,,,,
17.77,3318.00,,,,,,,,,,,,,,,,,
18.28,3300.00,,,,,,,,,,,,,,,,,
18.78,3294.00,,,,,,,,,,,,,,,,,
19.30,3296.00,,,,,,,,,,,,,,,,,
19.80,3406.00,,,,,,,,,,,,,,,,,
20.32,3381.00,,,,,,,,,,,,,,,,,
20.82,3355.00,,,,,,,,,,,,,,,,,
21.33,3331.00,,,,,,,,,,,,,,,,,
21.83,3317.00,,,,,,,,,,,,,,,,,
22.35,3319.00,,,,,,,,,,,,,,,,,
22.85,3347.00,,,,,,,,,,,,,,,,,
23.35,3398.00,,,,,,,,,,,,,,,,,
23.87,3465.00,,,,,,,,,,,,,,,,,
24.37,3509.00,,,,,,,,,,,,,,,,,
24.88,3491.00,,,,,,,,,,,,,,,,,
25.38,3446.00,,,,,,,,,,,,,,,,,
25.90,3375.00,,,,,,,,,,,,,,,,,
26.40,3333.00,,,,,,,,,,,,,,,,,
26.92,3362.00,,,,,,,,,,,,,,,,,
27.42,3448.00,,,,,,,,,,,,,,,,,
27.93,3547.00,,,,,,,,,,,,,,,,,
28.43,3557.00,,,,,,,,,,,,,,,,,
28.95,3487.00,,,,,,,,,,,,,,,,,
29.45,3407.00,,,,,,,,,,,,,,,,,
29.97,3362.00,,,,,,,,,,,,,,,,,
30.47,3377.00,,,,,,,,,,,,,,,,,
30.97,3466.00,,,,,,,,,,,,,,,,,
31.48,3553.00,,,,,,,,,,,,,,,,,
31.98,3591.00,,,,,,,,,,,,,,,,,
32.50,3541.00,,,,,,,,,,,,,,,,,
33.00,3445.00,,,,,,,,,,,,,,,,,
33.52,3385.00,,,,,,,,,,,,,,,,,
34.02,3401.00,,,,,,,,,,,,,,,,,
34.53,3467.00,,,,,,,,,,,,,,,,,
35.03,3550.00,,,,,,,,,,,,,,,,,
35.55,3616.00,,,,,,,,,,,,,,,,,
36.05,3591.00,,,,,,,,,,,,,,,,,
36.57,3490.00,,,,,,,,,,,,,,,,,
37.07,3416.00,,,,,,,,,,,,,,,,,
37.58,3400.00,,,,,,,,,,,,,,,,,
38.08,3456.00,,,,,,,,,,,,,,,,,
38.58,3553.00,,,,,,,,,,,,,,,,,
39.10,3626.00,,,,,,,,,,,,,,,,,
39.60,3610.00,,,,,,,,,,,,,,,,,
40.12,3515.00,,,,,,,,,,,,,,,,,
40.62,3443.00,,,,,,,,,,,,,,,,,
41.13,3417.00,,,,,,,,,,,,,,,,,
41.63,3476.00,,,,,,,,,,,,,,,,,
42.15,3571.00,,,,,,,,,,,,,,,,,
42.65,3644.00,,,,,,,,,,,,,,,,,
43.17,3653.00,,,,,,,,,,,,,,,,,
43.67,3635.00,,,,,,,,,,,,,,,,,
44.18,3564.00,,,,,,,,,,,,,,,,,
44.68,3503.00,,,,,,,,,,,,,,,,,
45.20,3454.00,,,,,,,,,,,,,,,,,
45.70,3448.00,,,,,,,,,,,,,,,,,
46.22,3477.00,,,,,,,,,,,,,,,,,
46.72,3527.00,,,,,,,,,,,,,,,,,
47.22,3573.00,,,,,,,,,,,,,,,,,
47.73,3633.00,,,,,,,,,,,,,,,,,
48.23,3666.00,,,,,,,,,,,,,,,,,
48.75,3674.00,,,,,,,,,,,,,,,,,
