disp_i,disp_j,disp_k,ids,pressure,temperature,X,Y,Z
-0.0017318,-0.088627,-1.4414,3.76E+05,1.55E+07,424.1,5,265,5
-0.0017318,-0.088627,-1.4414,3.76E+05,1.55E+07,424.1,15,265,5
-0.0039039,-0.081272,-1.4422,3.94E+05,1.55E+07,423.96,25,265,5
-0.0039039,-0.081272,-1.4422,3.94E+05,1.55E+07,423.96,35,265,5
-0.0039039,-0.081272,-1.4422,3.94E+05,1.55E+07,423.96,45,265,5
-0.0039039,-0.081272,-1.4422,3.94E+05,1.55E+07,423.96,55,265,5
-0.0039039,-0.081272,-1.4422,3.94E+05,1.55E+07,423.96,65,265,5
-0.0056096,-0.081486,-1.4203,3.01E+05,1.58E+07,426.42,75,265,5
-0.0056096,-0.081486,-1.4203,3.01E+05,1.58E+07,426.42,85,265,5
-0.0057736,-0.085843,-1.4415,3.97E+05,1.54E+07,423.53,95,265,5
-0.0057736,-0.085843,-1.4415,3.97E+05,1.54E+07,423.53,105,265,5
-0.0070085,-0.078608,-1.4216,3.41E+05,1.57E+07,425.87,115,265,5
-0.0070085,-0.078608,-1.4216,3.41E+05,1.57E+07,425.87,125,265,5
-0.0070085,-0.078608,-1.4216,3.41E+05,1.57E+07,425.87,135,265,5
-0.0070085,-0.078608,-1.4216,3.41E+05,1.57E+07,425.87,145,265,5
-0.0081301,-0.085557,-1.4252,3.09E+05,1.55E+07,424.63,155,265,5
-0.0081301,-0.085557,-1.4252,3.09E+05,1.55E+07,424.63,165,265,5
-0.0081301,-0.085557,-1.4252,3.09E+05,1.55E+07,424.63,175,265,5
-0.0081301,-0.085557,-1.4252,3.09E+05,1.55E+07,424.63,185,265,5
-0.0081301,-0.085557,-1.4252,3.09E+05,1.55E+07,424.63,195,265,5
-0.0090829,-0.081784,-1.411,3.09E+05,1.56E+07,425.6,205,265,5
-0.0090829,-0.081784,-1.411,3.09E+05,1.56E+07,425.6,215,265,5
-0.0090829,-0.081784,-1.411,3.09E+05,1.56E+07,425.6,225,265,5
-0.0090829,-0.081784,-1.411,3.09E+05,1.56E+07,425.6,235,265,5
-0.0090829,-0.081784,-1.411,3.09E+05,1.56E+07,425.6,245,265,5
-0.0090829,-0.081784,-1.411,3.09E+05,1.56E+07,425.6,255,265,5
-0.0096001,-0.083368,-1.4071,2.33E+05,1.56E+07,425.16,265,265,5
-0.0096001,-0.083368,-1.4071,2.33E+05,1.56E+07,425.16,275,265,5
-0.0096001,-0.083368,-1.4071,2.33E+05,1.56E+07,425.16,285,265,5
-0.0096001,-0.083368,-1.4071,2.33E+05,1.56E+07,425.16,295,265,5
-0.0096001,-0.083368,-1.4071,2.33E+05,1.56E+07,425.16,305,265,5
-0.0096001,-0.083368,-1.4071,2.33E+05,1.56E+07,425.16,315,265,5
-0.0098335,-0.087341,-1.3812,1.89E+05,1.58E+07,427.04,325,265,5
-0.0098335,-0.087341,-1.3812,1.89E+05,1.58E+07,427.04,335,265,5
-0.009928,-0.079787,-1.3916,2.20E+05,1.56E+07,425.57,345,265,5
-0.009928,-0.079787,-1.3916,2.20E+05,1.56E+07,425.57,355,265,5
-0.009928,-0.079787,-1.3916,2.20E+05,1.56E+07,425.57,365,265,5
-0.009928,-0.079787,-1.3916,2.20E+05,1.56E+07,425.57,375,265,5
-0.009928,-0.079787,-1.3916,2.20E+05,1.56E+07,425.57,385,265,5
-0.0098636,-0.081991,-1.4009,1.48E+05,1.54E+07,423.82,395,265,5
-0.0098636,-0.081991,-1.4009,1.48E+05,1.54E+07,423.82,405,265,5
-0.010334,-0.086497,-1.3862,43947,1.58E+07,427.51,415,265,5
-0.010334,-0.086497,-1.3862,43947,1.58E+07,427.51,425,265,5
-0.01036,-0.087385,-1.399,86248,1.55E+07,425.07,435,265,5
-0.01036,-0.087385,-1.399,86248,1.55E+07,425.07,445,265,5
-0.01036,-0.087385,-1.399,86248,1.55E+07,425.07,455,265,5
-0.01036,-0.087385,-1.399,86248,1.55E+07,425.07,465,265,5
-0.010666,-0.085046,-1.4028,84742,1.56E+07,425.31,475,265,5
-0.010666,-0.085046,-1.4028,84742,1.56E+07,425.31,485,265,5
-0.010666,-0.085046,-1.4028,84742,1.56E+07,425.31,495,265,5
-0.010666,-0.085046,-1.4028,84742,1.56E+07,425.31,505,265,5
